date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:45	207585/207585	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2003%20Sep%202025%2014:10:44%20GMT	http://spearheadproperties.local/	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/index-2.html	(from )
18:10:45	9216/9216	---MCZ	200	added ('OK')	text/css	etag:W/%2268b83cb5-2400%22	http://spearheadproperties.local/wp-content/plugins/marvy-animation-addons-for-elementor-lite/elementor/assets/css/marvy-custom.css?ver=1.7.4	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/plugins/marvy-animation-addons-for-elementor-lite/elementor/assets/css/marvy-customb34d.css	(from http://spearheadproperties.local/)
18:10:45	3844/3844	---MCZ	200	added ('OK')	text/css	etag:W/%2268b83caa-f04%22	http://spearheadproperties.local/wp-content/plugins/marvy-animation-addons/elementor/assets/css/marvy-custom-pro.css?ver=1.7.0	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/plugins/marvy-animation-addons/elementor/assets/css/marvy-custom-pro7d4c.css	(from http://spearheadproperties.local/)
18:10:45	235218/235218	U-----	200	untouched ('')	image/png	etag:%22688e064f-396d2%22	http://spearheadproperties.local/wp-content/uploads/2025/08/Spearhead-logo-transparent.png	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/uploads/2025/08/Spearhead-logo-transparent.png	(from http://spearheadproperties.local/)
18:10:45	1229/1229	---MCZ	200	added ('OK')	text/css	etag:W/%2268b83cf4-4cd%22	http://spearheadproperties.local/wp-content/uploads/elementor/css/post-5.css?ver=1756904692	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/uploads/elementor/css/post-5bd19.css	(from http://spearheadproperties.local/)
18:10:45	49864/49864	---MCZ	200	added ('OK')	text/css	etag:W/%2268b83ee6-c2c8%22	http://spearheadproperties.local/wp-content/uploads/elementor/css/post-7.css?ver=1756905190	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/uploads/elementor/css/post-750e1.css	(from http://spearheadproperties.local/)
18:10:46	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2003%20Sep%202025%2014:10:46%20GMT	http://spearheadproperties.local/xmlrpc.php	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/xmlrpc.php	(from http://spearheadproperties.local/)
18:10:46	21850/21850	U-----	200	untouched ('OK')	text/css	etag:W/%22688d1a1d-555a%22	http://spearheadproperties.local/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=6.11.5	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layersliderd230.css	(from http://spearheadproperties.local/)
18:10:46	2657/2657	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%22ac027cf0f151cfc670d7f218aaf7f7f2%22	http://spearheadproperties.local/comments/feed/	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/comments/feed/index.html	(from http://spearheadproperties.local/)
18:10:47	4367/4367	U-----	200	untouched ('OK')	text/css	etag:W/%226888c843-110f%22	http://spearheadproperties.local/wp-content/plugins/revslider/public/css/sr7.css?ver=6.7.35	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/plugins/revslider/public/css/sr72837.css	(from http://spearheadproperties.local/)
18:10:47	32820/32820	U-----	200	untouched ('OK')	text/css	etag:W/%2268b1fc24-8034%22	http://spearheadproperties.local/wp-content/plugins/chaty-pro/css/chaty-front.min.css?ver=3.3.21756708733	C:/Users/SALMA/Downloads/SpearHead%20Website%20Files/SpearHead%20properties/wp-content/plugins/chaty-pro/css/chaty-front.min20a9.css	(from http://spearheadproperties.local/)
